sample_name,species,AMC (disk),AMK (disk),AMK (mic),AMK (vitek),AMP (vitek),AMX (disk),AMX (vitek),ATM (disk),ATM (vitek),CAZ (disk),CAZ (mic),CAZ (vitek),CHL (vitek),CIP (disk),CIP (vitek),COL (mic),CRO (mic),CRO (vitek),CTX (disk),CTX (mic),CTX (vitek),CXM (vitek),CZA (disk),CZA (vitek),CZT (disk),CZT (vitek),ETP (disk),ETP (mic),ETP (vitek),FEP (disk),FEP (mic),FEP (vitek),FOS (disk),FOX (disk),FOX (vitek),GEN (disk),GEN (mic),GEN (vitek),IPM (disk),IPM (mic),IPM (vitek),LVX (disk),LVX (vitek),MEC (disk),MEM (disk),MEM (mic),MEM (vitek),NAL (vitek),NET (disk),OFX (vitek),PIP (vitek),PRL (disk),SXT (disk),SXT (vitek),TCC (disk),TCC (vitek),TGC (disk),TGC (vitek),TIC (disk),TIC (vitek),TOB (disk),TOB (vitek),TZP (disk),TZP (mic),TZP (vitek),AMC (disk) cat,AMK (disk) cat,AMK (mic) cat,AMK (vitek) cat,AMP (vitek) cat,AMX (disk) cat,AMX (vitek) cat,ATM (disk) cat,ATM (vitek) cat,CAZ (disk) cat,CAZ (mic) cat,CAZ (vitek) cat,CHL (vitek) cat,CIP (disk) cat,CIP (vitek) cat,COL (mic) cat,CRO (mic) cat,CRO (vitek) cat,CTX (disk) cat,CTX (mic) cat,CTX (vitek) cat,CXM (vitek) cat,CZA (disk) cat,CZA (vitek) cat,CZT (disk) cat,CZT (vitek) cat,ETP (disk) cat,ETP (mic) cat,ETP (vitek) cat,FEP (disk) cat,FEP (mic) cat,FEP (vitek) cat,FOS (disk) cat,FOX (disk) cat,FOX (vitek) cat,GEN (disk) cat,GEN (mic) cat,GEN (vitek) cat,IPM (disk) cat,IPM (mic) cat,IPM (vitek) cat,LVX (disk) cat,LVX (vitek) cat,MEC (disk) cat,MEM (disk) cat,MEM (mic) cat,MEM (vitek) cat,NAL (vitek) cat,NET (disk) cat,OFX (vitek) cat,PIP (vitek) cat,PRL (disk) cat,SXT (disk) cat,SXT (vitek) cat,TCC (disk) cat,TCC (vitek) cat,TGC (disk) cat,TGC (vitek) cat,TIC (disk) cat,TIC (vitek) cat,TOB (disk) cat,TOB (vitek) cat,TZP (disk) cat,TZP (mic) cat,TZP (vitek) cat
ENTHOR32,Enterobacter hormaechei oharae,6.0,16.0,8.0,16.0,,6.0,16.0,29.0,16.0,6.0,32.0,32.0,16.0,25.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,14.0,8.0,4.0,18.0,8.0,4.0,24.0,6.0,32.0,16.0,8.0,8.0,21.0,16.0,8.0,25.0,4.0,6.0,19.0,16.0,8.0,16.0,6.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,22.0,,6.0,64.0,11.0,8.0,6.0,64.0,64.0,R,R,R,R,NA,R,R,S,R,R,R,R,R,S,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,U,R,R,S,R,R,U,R,R,R,R,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
PANSEP2,Pantoea septica,,,0.25,2.0,,,,,1.0,,0.5,1.0,0.12,,2.0,0.5,0.25,0.25,,1.0,1.0,,,0.12,,0.25,,0.12,0.5,,0.06,0.12,,,16.0,,0.12,1.0,,2.0,0.5,,20.0,,,0.06,0.25,,,,8.0,,,,,8.0,,0.25,,64.0,,1.0,,4.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
SALENT7,Salmonella enterica enterica,,,1.0,2.0,16.0,,,,1.0,,0.5,1.0,0.12,,2.0,1.0,0.12,0.25,,0.25,1.0,,,0.25,,0.25,,0.06,0.5,,0.25,0.12,,,4.0,,0.5,1.0,,0.25,0.25,,20.0,,,0.06,0.25,,,,64.0,,,,,16.0,,,,64.0,,1.0,,4.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,NA,NA,R,NA,S,NA,S,S
SALENT8,Salmonella enterica enterica,,,2.0,2.0,16.0,,,,1.0,,0.5,1.0,0.12,,2.0,1.0,0.06,0.25,,0.25,1.0,,,0.25,,0.25,,0.06,0.5,,0.12,0.12,,,4.0,,0.25,1.0,,1.0,0.25,,20.0,,,0.06,0.25,,,,64.0,,,,,16.0,,,,64.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,S,NA,NA,NA,R,NA,S,NA,S,S
PANSEP3,Pantoea septica,,,0.25,,,,,,,,1.0,1.0,,,,0.5,0.5,,,2.0,1.0,,,,,,,0.06,,,0.25,0.12,,,,,0.12,1.0,,0.25,0.25,,,,,0.06,,,,,,,,,,,,,,,,,,8.0,,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,S,NA,NA,NA,S,S,NA,NA,R,S,NA,NA,NA,NA,NA,NA,S,NA,NA,S,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA
PANSEP4,Pantoea septica,,,0.25,2.0,,,,,1.0,,0.5,1.0,0.12,,4.0,0.5,0.25,0.25,,1.0,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,16.0,,0.12,1.0,,0.5,0.25,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
SALENT9,Salmonella enterica enterica,,,1.0,2.0,2.0,,,,1.0,,0.5,1.0,0.12,,2.0,1.0,0.12,0.25,,0.12,1.0,,,0.25,,0.25,,0.06,0.5,,0.25,0.12,,,4.0,,0.25,1.0,,0.12,0.25,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,,,8.0,,1.0,,2.0,4.0,NA,NA,S,S,S,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,S,NA,S,S
CITKOS12,Citrobacter koseri,,,0.5,,,,,,,,0.25,1.0,4.0,,0.25,0.5,0.06,0.25,,0.06,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,,,0.25,1.0,,0.25,0.25,,,,,0.06,0.25,2.0,,0.25,32.0,,,,,8.0,,0.5,,64.0,,,,2.0,4.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA,S,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,S,NA,R,NA,R,NA,NA,NA,S,S
RAOORN12,Raoultella ornithinolytica,,,0.5,2.0,16.0,,,,1.0,,0.25,1.0,0.12,,2.0,1.0,0.06,0.25,,0.06,1.0,1.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,4.0,,0.25,1.0,,0.25,0.5,,20.0,,,0.06,0.25,,,,,,,,,8.0,,0.25,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
KLEAER7,Klebsiella aerogenes,,,1.0,,,,,,,,0.25,1.0,2.0,,0.25,1.0,0.12,0.25,,0.12,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,,,0.25,1.0,,0.5,1.0,,,,,0.06,0.25,2.0,,0.25,4.0,,,,,8.0,,,,8.0,,,,2.0,4.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA,S,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,S
CITKOS14,Citrobacter koseri,,,0.5,,,,,,,,0.25,1.0,4.0,,0.25,0.5,0.12,0.25,,0.12,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,,,0.25,1.0,,0.12,0.25,,,,,0.06,0.25,2.0,,0.25,64.0,,,,,8.0,,0.5,,64.0,,,,2.0,4.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA,S,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,S,NA,R,NA,R,NA,NA,NA,S,S
ENTKOB1,Enterobacter kobei,,,0.5,,,,,,,,0.25,1.0,4.0,,0.25,1.0,0.25,0.25,,0.25,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,,,0.25,1.0,,0.25,0.5,,,,,0.06,0.25,2.0,,0.25,4.0,,,,,8.0,,,,8.0,,,,2.0,4.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA,S,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,S
PRTMIR19,Proteus mirabilis,,,4.0,,16.0,,,,,,0.25,1.0,32.0,,0.25,0.5,0.06,0.25,,0.06,1.0,1.0,,0.12,,0.25,,0.06,,,0.06,0.12,,,4.0,,1.0,1.0,,4.0,2.0,,,,,0.06,,4.0,,0.25,,,,,,8.0,,,,16.0,,,,1.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,S,S,R,NA,S,S,S,S,NA,S,S,U,NA,S,NA,S,NA,S,NA,NA,S,S,NA,NA,S,NA,S,S,NA,R,S,NA,NA,NA,NA,S,NA,U,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,R,NA,NA,NA,S,S
CITFRE18,Citrobacter freundii,,,2.0,,,,,,,,0.5,1.0,8.0,,1.0,0.5,0.25,0.25,,0.25,1.0,,,0.25,,0.25,,0.06,0.5,,0.06,0.12,,,,,0.5,1.0,,0.25,0.5,,,,,0.06,0.25,16.0,,4.0,4.0,,,,,8.0,,,,8.0,,,,8.0,4.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,R,NA,R,S,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,R,S
CITKOS15,Citrobacter koseri,,,2.0,,,,,,,,0.25,1.0,4.0,,0.25,0.5,0.25,0.25,,0.25,1.0,,,0.12,,0.25,,0.066,0.5,,0.25,0.12,,,,,0.5,1.0,,0.12,0.25,,,,,0.06,0.25,2.0,,0.25,64.0,,,,,8.0,,0.5,,64.0,,,,2.0,4.0,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,S,S,NA,S,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,NA,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,S,NA,R,NA,R,NA,NA,NA,S,S
ENTHOR39,Enterobacter hormaechei steigerwaltii,,,8.0,4.0,,,,,2.0,,32.0,4.0,4.0,,16.0,1.0,16.0,32.0,,16.0,8.0,,,0.5,,8.0,,0.5,0.5,,2.0,0.25,,,32.0,,1.0,1.0,,1.0,0.25,,160.0,,,0.06,0.25,,,,64.0,,,,,64.0,,2.0,,64.0,,8.0,,64.0,32.0,NA,NA,R,S,NA,NA,NA,NA,U,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,R,R,NA,U,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,R,R
PRVSTU4,Providencia stuartii,,,1.0,,,,,,,,0.25,,,,,8.0,0.06,,,0.06,,,,,,,,0.06,,,0.06,,,,,,2.0,,,0.5,,,,,,0.06,,,,,,,,,,,,,,,,,,1.0,,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,R,S,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,S,NA,NA,NA,NA,NA,R,NA,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA
PRTMIR16,Proteus mirabilis,,,8.0,,16.0,,,,,,0.06,1.0,32.0,,0.25,8.0,0.06,0.25,,0.06,1.0,1.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,4.0,,1.0,1.0,,2.0,2.0,,,,,0.12,0.25,4.0,,0.25,,,,,,8.0,,,,8.0,,,,1.0,4.0,NA,NA,R,NA,R,NA,NA,NA,NA,NA,S,S,R,NA,S,R,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,U,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,S
PRTMIR18,Proteus mirabilis,,,4.0,,2.0,,,,,,0.06,1.0,4.0,,0.25,8.0,0.06,0.25,,0.06,1.0,1.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,8.0,,1.0,1.0,,0.06,2.0,,,,,0.06,0.25,2.0,,0.25,,,,,,8.0,,,,8.0,,,,1.0,4.0,NA,NA,S,NA,S,NA,NA,NA,NA,NA,S,S,S,NA,S,R,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,S,NA,NA,NA,S,S
KLEOXY14,Klebsiella oxytoca,,,4.0,,16.0,,,,,,0.12,1.0,2.0,,0.25,1.0,0.12,0.25,,0.06,1.0,2.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,4.0,,0.25,1.0,,0.5,0.25,,,,,0.06,0.25,2.0,,0.25,8.0,,,,,8.0,,,,64.0,,,,2.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,S,S,S,NA,S,S,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,NA,NA,NA,S,S,S,NA,S,R,NA,NA,NA,NA,S,NA,NA,NA,R,NA,NA,NA,S,S
PRTMIR17,Proteus mirabilis,,,0.5,,16.0,,,,,,0.25,1.0,4.0,,0.25,0.5,0.06,0.25,,0.12,1.0,1.0,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,4.0,,0.5,1.0,,0.25,2.0,,,,,0.06,,2.0,,0.25,,,,,,8.0,,,,16.0,,,,2.0,4.0,NA,NA,S,NA,R,NA,NA,NA,NA,NA,S,S,S,NA,S,S,S,S,NA,S,S,U,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,R,NA,NA,NA,S,S
MORMOG20,Morganella morganii,,,8.0,2.0,16.0,,,,1.0,,32.0,1.0,0.12,,2.0,1.0,16.0,0.25,,16.0,1.0,,,0.12,,0.25,,0.5,0.5,,2.0,0.12,,,8.0,,1.0,1.0,,1.0,2.0,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,64.0,4.0,NA,NA,R,S,R,NA,NA,NA,S,NA,R,S,S,NA,R,S,R,S,NA,R,S,NA,NA,S,NA,S,NA,R,R,NA,U,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,R,S
MORMOG21,Morganella morganii,,,2.0,2.0,16.0,,,,1.0,,0.12,1.0,0.12,,2.0,8.0,0.06,0.25,,0.06,1.0,,,0.12,,0.5,,0.06,0.5,,0.06,0.12,,,8.0,,0.5,1.0,,1.0,1.0,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,S
MORMOG22,Morganella morganii,,,1.0,2.0,16.0,,,,1.0,,1.0,1.0,1.0,,16.0,8.0,0.06,0.25,,0.06,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,8.0,,0.5,1.0,,2.0,2.0,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,1.0,,8.0,,1.0,,2.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,R,NA,S,NA,S,NA,S,S
MORMOG23,Morganella morganii,,,1.0,2.0,16.0,,,,1.0,,0.12,1.0,0.12,,2.0,8.0,0.06,0.25,,0.06,1.0,,,0.12,,0.5,,0.06,0.5,,0.06,0.5,,,8.0,,0.5,1.0,,4.0,2.0,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,R,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,S
CITBRA4,Citrobacter braakii,,,1.0,,,,,,,,0.5,,,,,0.5,0.12,,,0.06,,,,,,,,0.06,,,0.06,,,,,,0.5,,,0.25,,,,,,0.06,,,,,,,,,,,,,,,,,,2.0,,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,S,S,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,S,NA,NA,NA,NA,NA,S,NA,NA,S,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA
CITFRE47,Citrobacter freundii,,,1.0,2.0,,,,,1.0,,0.5,1.0,0.12,,4.0,0.5,0.25,0.25,,0.12,1.0,,,0.25,,0.25,,0.06,0.5,,0.06,0.12,,,32.0,,0.25,1.0,,0.25,0.5,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,2.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,S
ENTBUG3,Enterobacter bugandensis,,,1.0,2.0,,,,,1.0,,1.0,1.0,0.12,,2.0,1.0,0.25,0.25,,0.5,1.0,,,0.25,,0.25,,0.06,0.5,,0.12,0.12,,,32.0,,0.25,1.0,,0.5,0.5,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,4.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,S
MORMOG25,Morganella morganii,,,1.0,2.0,16.0,,,,1.0,,0.06,1.0,0.12,,2.0,8.0,0.06,0.25,,0.06,1.0,,,0.12,,0.5,,0.06,0.5,,0.06,0.12,,,8.0,,0.25,1.0,,4.0,2.0,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,1.0,4.0,NA,NA,S,S,R,NA,NA,NA,S,NA,S,S,S,NA,R,R,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,R,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,S
ENTASB5,Enterobacter asburiae,,,1.0,2.0,,,,,16.0,,32.0,32.0,0.12,,8.0,0.5,16.0,32.0,,16.0,32.0,,,,,,,1.0,0.5,,1.0,,,,32.0,,0.25,1.0,,1.0,0.5,,20.0,,,0.25,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,,NA,NA,S,S,NA,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,NA,NA,NA,NA,R,R,NA,S,NA,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,NA
PANSEP5,Pantoea septica,,,0.25,2.0,,,,,1.0,,1.0,1.0,0.12,,2.0,1.0,0.12,0.25,,0.5,1.0,,,0.12,,0.25,,0.06,0.5,,0.06,0.12,,,16.0,,0.25,1.0,,1.0,0.25,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,64.0,,1.0,,2.0,4.0,NA,NA,S,S,NA,NA,NA,NA,S,NA,S,S,S,NA,R,S,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,R,NA,S,NA,S,S
ENTHOR70,Enterobacter hormaechei xiangfangensis,,,1.0,2.0,,,,,16.0,,16.0,32.0,0.12,,2.0,0.5,16.0,32.0,,16.0,32.0,,,0.25,,2.0,,0.12,0.5,,0.5,0.5,,,32.0,,0.25,1.0,,0.25,0.25,,20.0,,,0.06,0.25,,,,64.0,,,,,64.0,,0.25,,64.0,,1.0,,64.0,64.0,NA,NA,S,S,NA,NA,NA,NA,R,NA,R,R,S,NA,R,S,R,R,NA,R,R,NA,NA,S,NA,R,NA,S,R,NA,S,S,NA,NA,R,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,R,NA,NA,NA,NA,R,NA,S,NA,R,NA,S,NA,R,R
HAFPAR1,Hafnia paralvei,,,0.5,2.0,16.0,,,,1.0,,2.0,1.0,0.12,,2.0,4.0,1.0,8.0,,0.25,1.0,,,2.0,,8.0,,0.06,0.5,,0.06,0.12,,,4.0,,0.12,1.0,,0.25,0.25,,20.0,,,0.06,0.25,,,,4.0,,,,,8.0,,0.25,,8.0,,1.0,,2.0,16.0,NA,NA,S,S,R,NA,NA,NA,S,NA,U,S,S,NA,R,R,S,R,NA,S,S,NA,NA,S,NA,R,NA,S,R,NA,S,S,NA,NA,S,NA,S,S,NA,S,S,NA,R,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,S,NA,S,NA,S,NA,S,R
CITFRE52,Citrobacter freundii,,,1.0,,,,,,1.0,,0.25,1.0,0.12,,,8.0,0.12,0.25,,0.12,1.0,,,0.12,,0.25,,0.06,,,0.06,0.12,,,,,2.0,1.0,,0.25,0.25,,,,,0.06,0.25,,,,4.0,,,,,8.0,,,,,,,,1.0,,NA,NA,S,NA,NA,NA,NA,NA,S,NA,S,S,S,NA,NA,R,S,S,NA,S,S,NA,NA,S,NA,S,NA,S,NA,NA,S,S,NA,NA,NA,NA,R,S,NA,S,S,NA,NA,NA,NA,S,S,NA,NA,NA,S,NA,NA,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,S,NA
ENTCLOCO18,Enterobacter cloacae cloacae,6.0,23.0,4.0,16.0,,6.0,16.0,6.0,32.0,6.0,32.0,32.0,8.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,9.0,8.0,4.0,6.0,32.0,16.0,19.0,6.0,32.0,6.0,16.0,8.0,21.0,16.0,8.0,6.0,4.0,6.0,11.0,32.0,,16.0,10.0,4.0,64.0,6.0,35.0,20.0,6.0,64.0,27.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,S,S,R,NA,R,R,R,R,R,R,R,S,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,U,R,R,R,R,R,R,R,NA,R,R,R,R,R,S,R,R,R,S,NA,R,R,R,R,R,R,R
CITFRE57,Citrobacter freundii,6.0,31.0,0.5,2.0,,6.0,16.0,20.0,16.0,6.0,32.0,32.0,8.0,15.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,18.0,4.0,4.0,18.0,16.0,8.0,40.0,6.0,32.0,12.0,8.0,8.0,25.0,4.0,2.0,12.0,4.0,17.0,22.0,2.0,8.0,16.0,25.0,4.0,64.0,6.0,6.0,160.0,6.0,64.0,28.0,,6.0,64.0,10.0,8.0,6.0,64.0,64.0,R,S,S,S,NA,R,R,R,R,R,R,R,S,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,R,R,R,R,S,R,R,R,R,R,S,R,S,R,R,S,S,S,R,R,S,R,R,R,R,R,R,R,S,NA,R,R,R,R,R,R,R
CITFRE58,Citrobacter freundii,6.0,13.0,32.0,16.0,,6.0,16.0,14.0,1.0,6.0,32.0,32.0,16.0,6.0,2.0,0.5,16.0,32.0,6.0,16.0,32.0,,6.0,8.0,6.0,16.0,10.0,8.0,,16.0,32.0,8.0,35.0,6.0,32.0,6.0,16.0,1.0,13.0,16.0,8.0,10.0,4.0,6.0,10.0,32.0,8.0,16.0,6.0,4.0,64.0,6.0,6.0,20.0,6.0,64.0,17.0,,6.0,64.0,6.0,8.0,6.0,64.0,64.0,R,R,R,R,NA,R,R,R,S,R,R,R,R,R,R,S,R,R,R,R,R,NA,R,R,R,R,R,R,NA,R,R,R,S,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,NA,R,R,R,R,R,R,R
